,Timestamp,Bounty,Researcher
335,8/14/2015 21:11:46,140,sins
87,8/14/2015 21:12:12,280,aamir
220,8/14/2015 21:12:38,420,nismo
116,8/28/2015 21:41:49,700,mert
139,8/28/2015 21:42:15,2520,filedescriptor
91,8/28/2015 21:42:38,280,killr0x33d
264,8/28/2015 21:43:41,420,deepankerchawla
54,9/3/2015 17:59:16,1120,nismo
33,9/3/2015 17:59:43,420,paulos_
49,9/3/2015 18:00:15,1120,nismo
138,9/4/2015 17:26:54,2520,filedescriptor
265,9/4/2015 17:27:20,140,deepankerchawla
194,9/11/2015 17:35:14,5040,filedescriptor
213,9/11/2015 17:35:32,140,bo0om
242,9/11/2015 17:35:59,2520,filedescriptor
334,9/18/2015 19:21:31,5040,meals
313,9/18/2015 19:22:36,560,anand786
315,9/18/2015 19:22:55,280,meals
311,9/18/2015 19:23:12,140,nismo
289,10/2/2015 17:52:15,280,gokay_gundogan
306,10/2/2015 17:54:14,2520,anand786
256,10/2/2015 17:57:07,560,sr33r4j
29,10/2/2015 17:57:57,560,anand786
38,10/2/2015 18:02:12,1120,anand786
342,10/9/2015 17:35:40,560,anand786
319,10/23/2015 18:35:32,2520,filedescriptor
140,10/23/2015 18:36:38,3780,filedescriptor
180,10/23/2015 18:37:17,560,nismo
189,10/23/2015 18:37:57,3780,sedatdogan
210,10/23/2015 18:38:29,3220,anand786
191,10/23/2015 18:39:10,420,wesecureapp
192,10/23/2015 18:40:24,420,wesecureapp
193,10/23/2015 18:40:54,700,nismo
237,10/30/2015 22:37:10,420,sedatdogan
243,10/30/2015 22:37:39,280,ericr
260,10/30/2015 22:38:03,280,filedescriptor
248,10/30/2015 22:38:20,140,paulos_
338,11/6/2015 22:12:21,280,ericr
332,11/6/2015 22:12:46,560,nismo
350,11/6/2015 22:13:09,280,anand786
339,11/6/2015 22:13:32,840,sedatdogan
347,11/6/2015 22:15:55,1120,vijay_kumar1110
298,11/6/2015 22:16:33,1120,anand786
312,11/6/2015 22:16:54,280,filedescriptor
328,11/6/2015 22:17:21,1120,maxy
109,11/6/2015 22:17:44,280,anand786
258,11/6/2015 22:18:08,420,wesecureapp
267,11/6/2015 22:18:46,1120,fyoorer
257,11/6/2015 22:20:05,420,wesecureapp
20,11/13/2015 19:24:02,140,nismo
3,11/13/2015 19:25:03,140,deepankerchawla
18,11/13/2015 19:26:02,140,wesecureapp
16,11/13/2015 19:26:52,700,wesecureapp
1,11/13/2015 19:27:42,560,psychomantis
290,11/13/2015 19:28:48,420,anand786
259,11/13/2015 19:30:55,5040,wesecureapp
36,11/13/2015 19:41:40,700,brakhane
293,11/20/2015 19:02:39,280,anand786
74,11/20/2015 19:03:37,420,vijay_kumar1110
77,11/20/2015 19:05:32,140,mikko
89,11/20/2015 19:07:02,280,nismo
76,11/20/2015 19:08:35,560,nismo
10,11/20/2015 19:11:24,280,vijay_kumar1110
41,11/20/2015 19:12:39,280,vijay_kumar1110
42,11/20/2015 19:13:05,140,vijay_kumar1110
43,11/20/2015 19:14:44,140,vijay_kumar1110
120,12/4/2015 19:09:30,140,avicoder
161,12/4/2015 19:18:21,2520,nismo
249,12/4/2015 19:19:02,280,sedatdogan
144,12/4/2015 19:19:39,140,hak
209,12/4/2015 19:20:20,140,paulbits
124,12/4/2015 19:21:23,560,vijay_kumar1110
219,12/4/2015 19:22:43,140,meals
146,12/4/2015 19:25:21,140,anand786
160,12/4/2015 19:25:53,140,meals
148,12/4/2015 19:27:24,280,anand786
147,12/4/2015 19:41:38,280,anand786
136,12/4/2015 19:44:11,560,dups
133,12/4/2015 19:44:38,140,vraj
135,12/4/2015 19:46:56,280,nismo
132,12/4/2015 19:49:58,560,hussein98d
112,12/4/2015 19:51:31,560,sedatdogan
118,12/4/2015 19:53:05,560,stephensclafani
123,12/4/2015 19:55:08,1260,filedescriptor
59,12/4/2015 20:04:33,560,sedatdogan
9,12/4/2015 20:05:08,280,vijay_kumar1110
64,12/4/2015 20:07:10,2520,punkeel
254,12/11/2015 18:52:36,280,vijay_kumar1110
323,12/11/2015 20:19:27,2520,cjhbtn
291,12/22/2015 0:15:18,12040,filedescriptor
278,12/22/2015 0:15:51,280,wesecureapp
310,12/22/2015 0:16:42,1540,hussein98d
343,12/22/2015 0:17:09,560,nismo
107,12/22/2015 0:17:27,280,anand786
62,1/11/2016 23:14:38,1520,nismo
84,1/11/2016 23:15:01,280,satishb3
97,1/11/2016 23:15:25,2520,filedescriptor
81,1/11/2016 23:15:45,140,shailesh4594
80,1/11/2016 23:16:26,140,shailesh4594
78,1/11/2016 23:16:46,140,shailesh4594
88,1/11/2016 23:17:08,2520,filedescriptor
63,1/11/2016 23:17:26,140,punkeel
14,1/11/2016 23:17:52,280,joshbrodienz
11,1/11/2016 23:19:04,280,101
229,1/11/2016 23:21:00,420,ke_
12,1/11/2016 23:21:32,420,deepankerchawla
158,1/15/2016 19:05:39,700,cjhbtn
198,1/15/2016 19:08:46,5040,filedescriptor
223,1/22/2016 23:26:14,560,pouya
221,1/22/2016 23:27:10,140,nismo
217,1/22/2016 23:27:37,560,gorang_joshi
303,1/29/2016 19:09:17,2520,filedescriptor
357,1/29/2016 19:09:44,140,ryanboston
5,1/29/2016 19:10:06,280,maxy
207,1/29/2016 19:10:29,5040,filedescriptor
241,1/29/2016 19:11:13,2520,filedescriptor
349,2/9/2016 19:49:18,2520,filedescriptor
336,2/9/2016 19:50:10,420,jmhodges
285,2/9/2016 19:50:57,420,pouya
