,Timestamp,Bounty,Researcher
248,11/3/2015 21:03:29,500,guido
310,11/3/2015 21:12:04,500,harry_mg
63,11/3/2015 22:28:09,500,relaxnow
347,11/6/2015 0:31:11,200,acon
341,11/6/2015 17:05:40,100,harry_mg
339,11/6/2015 22:16:31,200,hassham
6,11/9/2015 21:25:29,3000,danlec
289,11/11/2015 17:40:16,100,user_0x3a_pass
259,11/11/2015 18:51:47,300,k0reph1l
193,11/11/2015 19:06:21,100,temmyscript
46,11/11/2015 19:13:32,2500,danlec
206,11/12/2015 20:08:58,100,agarri_fr
53,11/16/2015 16:36:39,100,sergeym
73,11/17/2015 1:40:14,500,agh
33,11/18/2015 18:47:05,100,linkks
27,11/19/2015 21:31:12,300,akshyy
70,11/19/2015 21:31:34,100,0xyukimm
62,11/20/2015 18:19:54,100,hiddeneyes_pratikpanchal
38,11/23/2015 16:52:47,500,hogarth45
282,11/23/2015 17:04:20,100,karthic
35,11/23/2015 23:10:41,500,danlec
25,12/2/2015 18:11:37,100,dups
196,12/2/2015 18:20:00,500,lfaraone
255,12/2/2015 18:44:43,500,protector_47_three
43,12/9/2015 17:29:53,100,linkcabin
34,12/9/2015 17:31:02,1500,danlec
265,12/9/2015 17:33:11,300,ng1
92,12/9/2015 17:35:26,750,akshyy
272,12/9/2015 17:38:21,700,danlec
322,12/17/2015 23:08:45,200,omeriqbal
37,12/17/2015 23:09:13,300,nahtnahss
167,12/17/2015 23:17:32,100,hamihax
28,12/17/2015 23:50:43,200,secbro
320,12/18/2015 0:08:17,1500,pranav_hivarekar
41,1/4/2016 21:03:07,600,shafigullin
283,1/5/2016 18:46:52,1000,sick-sec
330,1/5/2016 18:59:11,500,dzmitry
296,1/5/2016 19:00:26,600,danlec
333,1/5/2016 19:04:59,100,guido
249,1/5/2016 19:06:26,50,hassham
343,1/5/2016 19:39:21,500,shafigullin
10,1/7/2016 21:07:18,100,lomaka
172,1/19/2016 17:43:07,500,iceoccultism
106,1/19/2016 19:16:29,250,lalka
207,1/20/2016 22:37:55,100,anonymoose
251,1/20/2016 22:39:15,500,shinkbr
280,1/28/2016 22:16:54,500,dig
12,2/8/2016 18:43:21,700,thejh
337,2/8/2016 18:57:58,500,cliffordtrigo
52,2/10/2016 18:28:52,300,sergeym
302,2/10/2016 18:33:58,100,akshyy
309,2/10/2016 18:37:44,300,tothenewdigital
5,2/10/2016 23:51:23,1300,thejh
